mpn,manufacturer,description,second_source,boards,qty,unit_100,unit_1k,unit_5k,ext_1k_INR,sample_refs
HF115F-2Z,Hongfa,"2-pole 8 A relay (precharge bypass)","Omron G2R-2",acdc,1,128.3,95,83.6,95,KPRE
XFMR-AUX-FLY,custom (D4),"aux flyback transformer EE19","—",acdc,1,121.5,90,79.2,90,TAUX
B1505S-2WR2,MORNSUN,"iso 15→5 V 2 W module (CAN/shunt side)","WRB1505S",dcdc,2,60.8,45,39.6,90,PSSH PSCAN
NSI1200-DSWR,NOVOSENSE,"iso shunt amplifier SOIC-8","AMC1200",dcdc,1,94.5,70,61.6,70,USHO
S20K550,TDK/Songtian,"MOV 550 VAC 20 mm","Songtian eq",acdc,3,29.7,22,19.4,66,MOV1 MOV2 MOV3
Y2-4n7-300,Songtian,"Y2 4.7 nF 300 VAC","Faratronic",acdc+dcdc,5,16.2,12,10.6,60,CY1 CY2 CY3 CYO1 CYO2
NSI1042,NOVOSENSE,"iso CAN transceiver","NSI1050",dcdc,1,81,60,52.8,60,UCAN
R1206-475k-1%,UniOhm,"475 kΩ 1206 1% (HV divider)","any 1%",acdc+dcdc,64,1.2,0.9,0.8,58,RV1D0 RV1D1 RV1D2 RV1D3 RV1D4 RV1D5 RV1D6 RV1D7 RV2D0 RV2D1 RV2D2 RV2D3
R1206-RG,any,"gate resistor 1206 (4.7/2.2 Ω per E5/E6)","any",acdc+dcdc,36,2,1.5,1.3,54,RA0GON RA0GOFF RB0GON RB0GOFF RC0GON RC0GOFF RA1GON RA1GOFF RB1GON RB1GOFF RC1GON RC1GOFF
R2512-10R,any,"10 Ω 2512 1 W (RC snubber)","any",acdc+dcdc,12,5.4,4,3.5,48,RA0SN RB0SN RC0SN RA1SN RB1SN RC1SN R1SN R2SN R3SN R4SN R5SN R6SN
PHD2.0-16,JST/eq,"16-way board-to-board harness header","Molex",acdc+dcdc,2,29.7,22,19.4,44,JICA JICB
US1M,Yageo/MDD,"1 kV 1 A fast diode SMA (DESAT chain)","M7/US1M any",acdc+dcdc,36,1.6,1.2,1.1,43,DA0GS1 DA0GS2 DB0GS1 DB0GS2 DC0GS1 DC0GS2 DA1GS1 DA1GS2 DB1GS1 DB1GS2 DC1GS1 DC1GS2
CER-10R-10W,local,"10 Ω 10 W ceramic (bank pre-insertion)","—",dcdc,2,24.3,18,15.8,36,RPREA RPREB
MLCC-1u-0805,any,"1 µF 0805 (driver bias)","any",acdc+dcdc,36,1.1,0.8,0.7,29,CA0GB1 CA0GB2 CB0GB1 CB0GB2 CC0GB1 CC0GB2 CA1GB1 CA1GB2 CB1GB1 CB1GB2 CC1GB1 CC1GB2
SPP04N60,CR Micro,"650 V 4 A FET (aux flyback from MID half-bus, E20)","any 650V/4A SJ",acdc,1,37.8,28,24.6,28,QAUX
R2512-470,any,"470 Ω 2512 (clamp bleed)","any",acdc,6,5.4,4,3.5,24,RA0C RB0C RC0C RA1C RB1C RC1C
R2512-100k-3W,any,"100 kΩ 2512 (balance)","2× 1206 series",acdc,4,8.1,6,5.3,24,RBALT0 RBALB0 RBALT1 RBALB1
R0805-6k8-0.1%,UniOhm,"6.8 kΩ 0.1% (divider bottom)","any 0.1%",acdc+dcdc,8,3.4,2.5,2.2,20,RV1DL RV2DL RV3DL RBPDL RBMDL ROADL ROBDL ROVDL
R1206-33R-1%,any,"33 Ω CT burden 1%","any",acdc+dcdc,12,2,1.5,1.3,18,RA0B RB0B RC0B RA1B RB1B RC1B R1CT R2CT R3CT R4CT R5CT R6CT
ULN2803A,any,"8-ch relay coil driver SOIC-18","TBD62083",acdc+dcdc,2,12.2,9,7.9,18,UPA ULB
NCP1252-class,onsemi/eq,"flyback controller SOIC-8","UC2843B",acdc,1,24.3,18,15.8,18,UAUX
LED-2DIG-0.56CC,any,"2-digit 7-seg 0.56" common-cathode (HMI)","any",dcdc,1,24.3,18,15.8,18,DISP1
PH-2,JST,"2-way header (NTC/term)","any",acdc+dcdc,5,4.1,3,2.6,15,JTPFC JTINL JTLLC JTXFR JTERM
PH-4-FAN,JST,"fan header 4-way","any",acdc,2,8.1,6,5.3,12,JFAN1 JFAN2
R-small,any,"small-signal resistor","any",acdc+dcdc,23,0.5,0.4,0.4,9,RA0F RB0F RC0F RA1F RB1F RC1F RQDG RQDPU RTPFCP RTINLP RPFCRST RAUXCS
R0805-10k,any,"10 kΩ gate-source","any",acdc+dcdc,18,0.7,0.5,0.4,9,RA0GGS RB0GGS RC0GGS RA1GGS RB1GGS RC1GGS R1HGS R1LGS R2HGS R2LGS R3HGS R3LGS
MLCC-small,any,"filter MLCC 0603/0805","any",acdc+dcdc,18,0.7,0.5,0.4,9,CA0F CB0F CC0F CA1F CB1F CC1F CV1DF CV2DF CV3DF CBPDF CBMDF CTPFCF
EL-220u-35,Aishi,"220 µF 35 V","any",acdc,2,5.4,4,3.5,8,CAUX24 CAUX15
CMC-CAN-51uH,any,"CAN common-mode choke","any",dcdc,1,10.8,8,7,8,LCAN
PH-4,JST,"CAN connector 4-way","any",dcdc,1,10.8,8,7,8,JCAN
MLCC-100p-0603,any,"100 pF 0603 (DESAT blank)","any",acdc+dcdc,18,0.5,0.4,0.4,7,CA0GBL CB0GBL CC0GBL CA1GBL CB1GBL CC1GBL C1HBL C1LBL C2HBL C2LBL C3HBL C3LBL
TAB-M4,local,"discharge FET heatsink tab stud","—",acdc,1,8.1,6,5.3,6,QDIS
AMS1117-3.3,AMS/eq,"3.3 V LDO SOT-223","SPX1117",acdc,1,8.1,6,5.3,6,U3V3
TACT-6x6,any,"tactile switch 6×6 (HMI)","any",dcdc,2,4.1,3,2.6,6,SW1 SW2
SS310,MDD,"100 V 3 A Schottky SMB","SS36",acdc,2,3,2.2,1.9,4,DAUX24 DAUX15
PESD1CAN,Nexperia/eq,"CAN TVS","any",dcdc,1,5.4,4,3.5,4,TVSCAN
74HC595,any,"shift register SOIC-16 (HMI segments)","TPIC6C595",dcdc,1,5.4,4,3.5,4,USR1
1N4148WS,any,"clamp diode SOD-323","BAS316",acdc,6,0.5,0.4,0.4,2,DA0P DB0P DC0P DA1P DB1P DC1P
MLCC-100n-0402,any,"100 nF 0402 decoupling","any",acdc+dcdc,8,0.4,0.3,0.3,2,CPFCD0 CPFCD1 CPFCD2 CPFCD3 CLLCD0 CLLCD1 CLLCD2 CLLCD3
R0603-220,any,"220 Ω segment","any",dcdc,8,0.4,0.3,0.3,2,RSEG0 RSEG1 RSEG2 RSEG3 RSEG4 RSEG5 RSEG6 RSEG7
MLCC-10u-0805,any,"10 µF 0805","any",acdc,1,1.6,1.2,1.1,1,C3V3
S8050,CJ,"NPN SOT-23 (display digit driver)","MMBT2222",dcdc,2,0.5,0.4,0.4,1,QDIG1 QDIG2
BIAS-XFMR-SET,custom,"BIAS-XFMR multi-secondary transformer + SN6505-class push-pull driver (one per board pair, E23)","—",acdc+dcdc,2,223,165,145,330,
MECH,—,"PCB-ACDC 6L 460×420","—",module,1,2012,1750,1628,1750,
MECH,—,"PCB-DCDC 6L 520×420","—",module,1,2243,1950,1814,1950,
MECH,—,"Heatsink extrusions","—",module,1,3105,2700,2511,2700,
MECH,—,"Fans 120×38 PWM","—",module,2,322,280,260,560,
MECH,—,"Enclosure sheet metal + hardware","—",module,1,1552,1350,1256,1350,
MECH,—,"Busbars/interconnect + harness (busbar-calc)","—",module,1,1892,1645,1530,1645,
MECH,—,"NTC sensor assemblies","—",module,4,21,18,17,72,
MECH,—,"TIM/insulators/fasteners","—",module,1,633,550,512,550,
MECH,—,"Assembly + calibration + EOL test","—",module,1,2990,2600,2418,2600,
TOTAL_ELECTRONIC,,,,,,,,,42142,
TOTAL_MODULE_1K,,,,,,,,,55319,
