# §35 full grid (E67 rev: full-bridge tanks, LOW/HIGH mode edge at 500 V, PSM at f_max, line-tracking bus floor), averaged fidelity; PASS = Tj<=150, Ip_rms<=tank class (78/100/120 A rms), fn in [0.45,1.45], eta floor
sku,Vin,Vout,load,temp,mode,ctl,Pout_W,bus_V,fn,Ip_rms_A,Iline_A,eta_pct,Tj_pfc_C,Tj_llc_C,PASS,notes,Tj_jbs_C,Woff_pos_W,Itoff_A
30kw,285,250,1,room,PAR,PFM,25000,650,1.443,57.2,52.7,95.38,79,117,PASS,,61,33.9,76
30kw,285,250,1,hot,PAR,PFM,25000,650,1.443,53.3,49,95.47,106,142,PASS,thermal derate to 93% ,89,31.7,70.9
30kw,285,300,0,cold,PAR,IDLE,0,650,,0,0,,,,PASS,standby
30kw,285,300,0,room,PAR,IDLE,0,650,,0,0,,,,PASS,standby
30kw,285,300,0,hot,PAR,IDLE,0,650,,0,0,,,,PASS,standby
30kw,285,300,0.05,cold,PAR,PFM,1295,650,1.191,11.6,2.7,92.7,11,16,PASS,,10,6.1,16.4
30kw,285,300,0.05,room,PAR,PFM,1295,650,1.191,11.6,2.7,92.7,46,51,PASS,,45,6.1,16.4
30kw,285,300,0.05,hot,PAR,PFM,1295,650,1.191,11.6,2.7,92.69,75,80,PASS,,74,6.1,16.4
30kw,285,300,0.1,cold,PAR,PFM,2591,650,1.191,12.4,5.5,95.46,11,17,PASS,,11,6.4,17.5
30kw,285,300,0.1,room,PAR,PFM,2591,650,1.191,12.4,5.5,95.46,46,52,PASS,,46,6.4,17.5
30kw,285,300,0.1,hot,PAR,PFM,2591,650,1.191,12.4,5.5,95.45,75,81,PASS,,75,6.4,17.5
30kw,285,300,0.25,cold,PAR,PFM,6477,650,1.189,16.7,13.7,96.89,14,19,PASS,,12,8.7,23.6
30kw,285,300,0.25,room,PAR,PFM,6477,650,1.189,16.7,13.7,96.86,49,55,PASS,,47,8.7,23.6
30kw,285,300,0.25,hot,PAR,PFM,6477,650,1.189,16.7,13.7,96.84,78,84,PASS,,76,8.7,23.6
30kw,285,300,0.5,cold,PAR,PFM,12955,650,1.184,27,27.3,97,20,26,PASS,,15,11.1,30.4
30kw,285,300,0.5,room,PAR,PFM,12955,650,1.184,27,27.3,96.95,56,62,PASS,,50,11.1,30.4
30kw,285,300,0.5,hot,PAR,PFM,12955,650,1.184,27,27.3,96.91,86,92,PASS,,79,11.1,30.4
30kw,285,300,0.75,cold,PAR,PFM,19432,650,1.177,38.5,41,96.69,29,35,PASS,,19,13.6,37.4
30kw,285,300,0.75,room,PAR,PFM,19432,650,1.177,38.5,41,96.62,67,73,PASS,,54,13.6,37.4
30kw,285,300,0.75,hot,PAR,PFM,19432,650,1.177,38.5,41,96.55,97,104,PASS,,83,13.6,37.4
30kw,285,300,1,cold,PAR,PFM,25909,650,1.168,50.3,54.7,96.27,42,49,PASS,,23,16.4,45.4
30kw,285,300,1,room,PAR,PFM,25909,650,1.168,50.3,54.7,96.16,81,90,PASS,,58,16.4,45.4
30kw,285,300,1,hot,PAR,PFM,25909,650,1.168,50.3,54.7,96.07,113,123,PASS,,87,16.4,45.4
30kw,285,400,0,cold,PAR,IDLE,0,830,,0,0,,,,PASS,standby
30kw,285,400,0,room,PAR,IDLE,0,830,,0,0,,,,PASS,standby
30kw,285,400,0,hot,PAR,IDLE,0,830,,0,0,,,,PASS,standby
30kw,285,400,0.05,cold,PAR,PFM,1295,830,1.084,16.8,2.7,91.13,11,21,PASS,,10,10.1,23.7
30kw,285,400,0.05,room,PAR,PFM,1295,830,1.084,16.8,2.7,91.12,46,56,PASS,,45,10.1,23.7
30kw,285,400,0.05,hot,PAR,PFM,1295,830,1.084,16.8,2.7,91.12,75,86,PASS,,74,10.1,23.7
30kw,285,400,0.1,cold,PAR,PFM,2591,830,1.084,17.1,5.5,94.78,12,21,PASS,,11,10.3,24.1
30kw,285,400,0.1,room,PAR,PFM,2591,830,1.084,17.1,5.5,94.77,47,56,PASS,,46,10.3,24.1
30kw,285,400,0.1,hot,PAR,PFM,2591,830,1.084,17.1,5.5,94.76,76,86,PASS,,75,10.3,24.1
30kw,285,400,0.25,cold,PAR,PFM,6477,830,1.084,19,13.7,96.85,15,22,PASS,,12,11.5,26.9
30kw,285,400,0.25,room,PAR,PFM,6477,830,1.084,19,13.7,96.82,50,58,PASS,,47,11.5,26.9
30kw,285,400,0.25,hot,PAR,PFM,6477,830,1.084,19,13.7,96.79,80,88,PASS,,76,11.5,26.9
30kw,285,400,0.5,cold,PAR,PFM,12955,830,1.083,24.8,27.3,97.16,24,28,PASS,,14,15,35.1
30kw,285,400,0.5,room,PAR,PFM,12955,830,1.083,24.8,27.3,97.09,60,64,PASS,,49,15,35.1
30kw,285,400,0.5,hot,PAR,PFM,12955,830,1.083,24.8,27.3,97.04,90,94,PASS,,78,15,35.1
30kw,285,400,0.75,cold,PAR,PFM,19432,830,1.083,32.2,41,97,36,33,PASS,,16,16,37.4
30kw,285,400,0.75,room,PAR,PFM,19432,830,1.083,32.2,41,96.89,74,70,PASS,,51,16,37.4
30kw,285,400,0.75,hot,PAR,PFM,19432,830,1.083,32.2,41,96.8,105,100,PASS,,80,16,37.4
30kw,285,400,1,cold,PAR,PFM,25909,830,1.082,40.3,54.7,96.65,54,40,PASS,,19,17,39.7
30kw,285,400,1,room,PAR,PFM,25909,830,1.082,40.3,54.7,96.5,94,78,PASS,,54,17,39.7
30kw,285,400,1,hot,PAR,PFM,25909,830,1.082,40.3,54.7,96.38,128,109,PASS,,83,17,39.7
30kw,285,500,0,cold,PAR,IDLE,0,830,,0,0,,,,PASS,standby
30kw,285,500,0,room,PAR,IDLE,0,830,,0,0,,,,PASS,standby
30kw,285,500,0,hot,PAR,IDLE,0,830,,0,0,,,,PASS,standby
30kw,285,500,0.05,cold,PAR,PFM,1295,830,0.609,37.1,2.7,85.76,11,33,PASS,,10,12.6,52.5
30kw,285,500,0.05,room,PAR,PFM,1295,830,0.609,37.1,2.7,85.76,46,71,PASS,,45,12.6,52.5
30kw,285,500,0.05,hot,PAR,PFM,1295,830,0.609,37.1,2.7,85.75,75,102,PASS,,74,12.6,52.5
30kw,285,500,0.1,cold,PAR,PFM,2591,830,0.608,37.2,5.5,91.88,12,33,PASS,,11,12.6,52.6
30kw,285,500,0.1,room,PAR,PFM,2591,830,0.608,37.2,5.5,91.87,47,71,PASS,,46,12.6,52.6
30kw,285,500,0.1,hot,PAR,PFM,2591,830,0.608,37.2,5.5,91.86,76,102,PASS,,75,12.6,52.6
30kw,285,500,0.25,cold,PAR,PFM,6477,830,0.607,37.9,13.7,95.8,15,34,PASS,,11,12.8,53.5
30kw,285,500,0.25,room,PAR,PFM,6477,830,0.607,37.9,13.7,95.76,50,72,PASS,,46,12.8,53.5
30kw,285,500,0.25,hot,PAR,PFM,6477,830,0.607,37.9,13.7,95.74,80,103,PASS,,75,12.8,53.5
30kw,285,500,0.5,cold,PAR,PFM,12955,830,0.604,40.1,27.3,96.84,24,37,PASS,,13,13.5,56.8
30kw,285,500,0.5,room,PAR,PFM,12955,830,0.604,40.1,27.3,96.78,60,75,PASS,,48,13.5,56.8
30kw,285,500,0.5,hot,PAR,PFM,12955,830,0.604,40.1,27.3,96.72,90,106,PASS,,77,13.5,56.8
30kw,285,500,0.75,cold,PAR,PFM,19432,830,0.597,43.7,41,96.91,36,41,PASS,,15,14.6,61.8
30kw,285,500,0.75,room,PAR,PFM,19432,830,0.597,43.7,41,96.8,74,79,PASS,,50,14.6,61.8
30kw,285,500,0.75,hot,PAR,PFM,19432,830,0.597,43.7,41,96.71,105,111,PASS,,79,14.6,61.8
30kw,285,500,1,cold,PAR,PFM,25909,830,0.588,48.3,54.7,96.69,54,47,PASS,,17,15.7,67.5
30kw,285,500,1,room,PAR,PFM,25909,830,0.588,48.3,54.7,96.54,94,86,PASS,,52,15.7,67.5
30kw,285,500,1,hot,PAR,PFM,25909,830,0.588,48.3,54.7,96.42,128,119,PASS,,81,15.7,67.5
30kw,285,500,0,cold,SER,IDLE,0,650,,0,0,,,,PASS,standby
30kw,285,500,0,room,SER,IDLE,0,650,,0,0,,,,PASS,standby
30kw,285,500,0,hot,SER,IDLE,0,650,,0,0,,,,PASS,standby
30kw,285,500,0.05,cold,SER,PSM,1295,650,1.45,8.3,2.7,93.19,11,15,PASS,,11,6,13.3
30kw,285,500,0.05,room,SER,PSM,1295,650,1.45,8.3,2.7,93.19,46,50,PASS,,46,6,13.3
30kw,285,500,0.05,hot,SER,PSM,1295,650,1.45,8.3,2.7,93.18,75,80,PASS,,75,6,13.3
30kw,285,500,0.1,cold,SER,PSM,2591,650,1.45,9.7,5.5,95.68,11,16,PASS,,11,7,15.6
30kw,285,500,0.1,room,SER,PSM,2591,650,1.45,9.7,5.5,95.67,46,52,PASS,,46,7,15.6
30kw,285,500,0.1,hot,SER,PSM,2591,650,1.45,9.7,5.5,95.66,75,81,PASS,,75,7,15.6
30kw,285,500,0.25,cold,SER,PSM,6477,650,1.45,16.6,13.7,96.88,14,22,PASS,,13,11.9,26.6
30kw,285,500,0.25,room,SER,PSM,6477,650,1.45,16.6,13.7,96.85,49,58,PASS,,48,11.9,26.6
30kw,285,500,0.25,hot,SER,PSM,6477,650,1.45,16.6,13.7,96.83,78,87,PASS,,77,11.9,26.6
30kw,285,500,0.5,cold,SER,PSM,12955,650,1.45,30.4,27.3,96.76,20,36,PASS,,17,21.8,48.6
30kw,285,500,0.5,room,SER,PSM,12955,650,1.45,30.4,27.3,96.71,56,73,PASS,,52,21.8,48.6
30kw,285,500,0.5,hot,SER,PSM,12955,650,1.45,30.4,27.3,96.67,86,104,PASS,,81,21.8,48.6
30kw,285,500,0.75,cold,SER,PSM,19432,650,1.45,44.7,41,96.3,29,57,PASS,,21,32.1,71.6
30kw,285,500,0.75,room,SER,PSM,19432,650,1.45,44.7,41,96.23,67,96,PASS,,56,32.1,71.6
30kw,285,500,0.75,hot,SER,PSM,19432,650,1.45,44.7,41,96.16,97,128,PASS,,85,32.1,71.6
30kw,285,500,1,cold,SER,PFM,25909,650,1.434,59.3,54.7,95.59,42,80,PASS,,27,34.9,78.7
30kw,285,500,1,room,SER,PFM,25909,650,1.434,59.3,54.7,95.49,81,122,PASS,,62,34.9,78.7
30kw,285,500,1,hot,SER,PFM,25909,650,1.434,55.2,50.8,95.58,108,146,PASS,thermal derate to 93% ,89,32.6,73.4
30kw,285,750,0,cold,SER,IDLE,0,789,,0,0,,,,PASS,standby
30kw,285,750,0,room,SER,IDLE,0,789,,0,0,,,,PASS,standby
30kw,285,750,0,hot,SER,IDLE,0,789,,0,0,,,,PASS,standby
30kw,285,750,0.05,cold,SER,PFM,1295,789,1.119,15.2,2.7,91.72,11,19,PASS,,10,9.1,21.6
30kw,285,750,0.05,room,SER,PFM,1295,789,1.119,15.2,2.7,91.71,46,55,PASS,,45,9.1,21.6
30kw,285,750,0.05,hot,SER,PFM,1295,789,1.119,15.2,2.7,91.71,75,84,PASS,,74,9.1,21.6
30kw,285,750,0.1,cold,SER,PFM,2591,789,1.119,15.6,5.5,95.13,12,20,PASS,,11,9.3,22.1
30kw,285,750,0.1,room,SER,PFM,2591,789,1.119,15.6,5.5,95.12,47,55,PASS,,46,9.3,22.1
30kw,285,750,0.1,hot,SER,PFM,2591,789,1.119,15.6,5.5,95.11,76,84,PASS,,75,9.3,22.1
30kw,285,750,0.25,cold,SER,PFM,6477,789,1.119,18,13.7,97.03,15,21,PASS,,12,10.7,25.5
30kw,285,750,0.25,room,SER,PFM,6477,789,1.119,18,13.7,97,50,57,PASS,,47,10.7,25.5
30kw,285,750,0.25,hot,SER,PFM,6477,789,1.119,18,13.7,96.97,79,87,PASS,,76,10.7,25.5
30kw,285,750,0.5,cold,SER,PFM,12955,789,1.118,24.8,27.3,97.28,23,27,PASS,,14,14.1,33.5
30kw,285,750,0.5,room,SER,PFM,12955,789,1.118,24.8,27.3,97.21,59,63,PASS,,49,14.1,33.5
30kw,285,750,0.5,hot,SER,PFM,12955,789,1.118,24.8,27.3,97.16,89,93,PASS,,78,14.1,33.5
30kw,285,750,0.75,cold,SER,PFM,19432,789,1.116,33.1,41,97.08,35,33,PASS,,17,15.2,36.4
30kw,285,750,0.75,room,SER,PFM,19432,789,1.116,33.1,41,96.99,72,70,PASS,,52,15.2,36.4
30kw,285,750,0.75,hot,SER,PFM,19432,789,1.116,33.1,41,96.9,104,100,PASS,,81,15.2,36.4
30kw,285,750,1,cold,SER,PFM,25909,789,1.114,42,54.7,96.72,51,41,PASS,,20,16.8,40
30kw,285,750,1,room,SER,PFM,25909,789,1.114,42,54.7,96.58,92,79,PASS,,55,16.8,40
30kw,285,750,1,hot,SER,PFM,25909,789,1.114,42,54.7,96.46,125,111,PASS,,84,16.8,40
30kw,285,1000,0,cold,SER,IDLE,0,830,,0,0,,,,PASS,standby
30kw,285,1000,0,room,SER,IDLE,0,830,,0,0,,,,PASS,standby
30kw,285,1000,0,hot,SER,IDLE,0,830,,0,0,,,,PASS,standby
30kw,285,1000,0.05,cold,SER,PFM,1295,830,0.609,37.1,2.7,85.84,11,33,PASS,,10,12.6,52.5
30kw,285,1000,0.05,room,SER,PFM,1295,830,0.609,37.1,2.7,85.83,46,71,PASS,,45,12.6,52.5
30kw,285,1000,0.05,hot,SER,PFM,1295,830,0.609,37.1,2.7,85.83,75,102,PASS,,74,12.6,52.5
30kw,285,1000,0.1,cold,SER,PFM,2591,830,0.608,37.2,5.5,91.97,12,33,PASS,,11,12.6,52.6
30kw,285,1000,0.1,room,SER,PFM,2591,830,0.608,37.2,5.5,91.96,47,71,PASS,,46,12.6,52.6
30kw,285,1000,0.1,hot,SER,PFM,2591,830,0.608,37.2,5.5,91.95,76,102,PASS,,75,12.6,52.6
30kw,285,1000,0.25,cold,SER,PFM,6477,830,0.607,37.9,13.7,95.89,15,34,PASS,,11,12.8,53.5
30kw,285,1000,0.25,room,SER,PFM,6477,830,0.607,37.9,13.7,95.86,50,72,PASS,,46,12.8,53.5
30kw,285,1000,0.25,hot,SER,PFM,6477,830,0.607,37.9,13.7,95.83,80,103,PASS,,75,12.8,53.5
30kw,285,1000,0.5,cold,SER,PFM,12955,830,0.604,40.1,27.3,96.94,24,37,PASS,,13,13.5,56.8
30kw,285,1000,0.5,room,SER,PFM,12955,830,0.604,40.1,27.3,96.87,60,75,PASS,,48,13.5,56.8
30kw,285,1000,0.5,hot,SER,PFM,12955,830,0.604,40.1,27.3,96.82,90,106,PASS,,77,13.5,56.8
30kw,285,1000,0.75,cold,SER,PFM,19432,830,0.597,43.7,41,97,36,41,PASS,,15,14.6,61.8
30kw,285,1000,0.75,room,SER,PFM,19432,830,0.597,43.7,41,96.9,74,79,PASS,,50,14.6,61.8
30kw,285,1000,0.75,hot,SER,PFM,19432,830,0.597,43.7,41,96.81,105,111,PASS,,79,14.6,61.8
30kw,285,1000,1,cold,SER,PFM,25909,830,0.588,48.3,54.7,96.79,54,47,PASS,,17,15.7,67.5
30kw,285,1000,1,room,SER,PFM,25909,830,0.588,48.3,54.7,96.64,94,86,PASS,,52,15.7,67.5
30kw,285,1000,1,hot,SER,PFM,25909,830,0.588,48.3,54.7,96.52,128,119,PASS,,81,15.7,67.5
30kw,300,150,0,cold,PAR,IDLE,0,650,,0,0,,,,PASS,standby
30kw,300,150,0,room,PAR,IDLE,0,650,,0,0,,,,PASS,standby
30kw,300,150,0,hot,PAR,IDLE,0,650,,0,0,,,,PASS,standby
30kw,300,150,0.05,cold,PAR,PSM,750,650,1.45,5.5,1.5,85.99,10,25,PASS,,10,3.9,8.7
30kw,300,150,0.05,room,PAR,PSM,750,650,1.45,5.5,1.5,85.99,45,60,PASS,,45,3.9,8.7
30kw,300,150,0.05,hot,PAR,PSM,750,650,1.45,5.5,1.5,85.99,74,89,PASS,,74,3.9,8.7
30kw,300,150,0.1,cold,PAR,PSM,1500,650,1.45,7.3,3,91.22,11,26,PASS,,11,5.3,11.7
30kw,300,150,0.1,room,PAR,PSM,1500,650,1.45,7.3,3,91.21,46,61,PASS,,46,5.3,11.7
30kw,300,150,0.1,hot,PAR,PSM,1500,650,1.45,7.3,3,91.21,75,90,PASS,,75,5.3,11.7
30kw,300,150,0.25,cold,PAR,PSM,3750,650,1.45,14.9,7.5,94.26,12,27,PASS,,13,10.7,23.9
30kw,300,150,0.25,room,PAR,PSM,3750,650,1.45,14.9,7.5,94.25,47,63,PASS,,48,10.7,23.9
30kw,300,150,0.25,hot,PAR,PSM,3750,650,1.45,14.9,7.5,94.24,76,92,PASS,,77,10.7,23.9
30kw,300,150,0.5,cold,PAR,PSM,7500,650,1.45,28.7,15,94.74,14,34,PASS,,16,20.6,46
30kw,300,150,0.5,room,PAR,PSM,7500,650,1.45,28.7,15,94.72,50,71,PASS,,51,20.6,46
30kw,300,150,0.5,hot,PAR,PSM,7500,650,1.45,28.7,15,94.7,79,101,PASS,,80,20.6,46
30kw,300,150,0.75,cold,PAR,PSM,11250,650,1.45,42.8,22.5,94.45,18,54,PASS,,21,30.7,68.4
30kw,300,150,0.75,room,PAR,PSM,11250,650,1.45,42.8,22.5,94.41,53,93,PASS,,56,30.7,68.4
30kw,300,150,0.75,hot,PAR,PSM,11250,650,1.45,42.8,22.5,94.38,83,124,PASS,,85,30.7,68.4
30kw,300,150,1,cold,PAR,PSM,15000,650,1.45,56.9,30.1,93.96,21,81,PASS,,26,40.8,91
30kw,300,150,1,room,PAR,PSM,15000,650,1.45,56.9,30.1,93.92,57,123,PASS,,61,40.8,91
30kw,300,150,1,hot,PAR,PSM,15000,650,1.45,52.9,28,94.03,86,147,PASS,thermal derate to 93% ,89,38,84.7
30kw,300,200,0,cold,PAR,IDLE,0,650,,0,0,,,,PASS,standby
30kw,300,200,0,room,PAR,IDLE,0,650,,0,0,,,,PASS,standby
30kw,300,200,0,hot,PAR,IDLE,0,650,,0,0,,,,PASS,standby
30kw,300,200,0.05,cold,PAR,PSM,1000,650,1.45,6.8,2,90.94,10,14,PASS,,10,4.9,10.9
30kw,300,200,0.05,room,PAR,PSM,1000,650,1.45,6.8,2,90.94,45,49,PASS,,45,4.9,10.9
30kw,300,200,0.05,hot,PAR,PSM,1000,650,1.45,6.8,2,90.94,74,78,PASS,,74,4.9,10.9
30kw,300,200,0.1,cold,PAR,PSM,2000,650,1.45,8.4,4,94.23,11,15,PASS,,11,6,13.5
30kw,300,200,0.1,room,PAR,PSM,2000,650,1.45,8.4,4,94.23,46,51,PASS,,46,6,13.5
30kw,300,200,0.1,hot,PAR,PSM,2000,650,1.45,8.4,4,94.22,75,80,PASS,,75,6,13.5
30kw,300,200,0.25,cold,PAR,PSM,5000,650,1.45,15.5,10,95.96,13,21,PASS,,13,11.1,24.8
30kw,300,200,0.25,room,PAR,PSM,5000,650,1.45,15.5,10,95.94,48,56,PASS,,48,11.1,24.8
30kw,300,200,0.25,hot,PAR,PSM,5000,650,1.45,15.5,10,95.93,77,86,PASS,,77,11.1,24.8
30kw,300,200,0.5,cold,PAR,PSM,10000,650,1.45,29,20,96.04,16,35,PASS,,16,20.8,46.4
30kw,300,200,0.5,room,PAR,PSM,10000,650,1.45,29,20,96.01,52,71,PASS,,51,20.8,46.4
30kw,300,200,0.5,hot,PAR,PSM,10000,650,1.45,29,20,95.98,81,102,PASS,,80,20.8,46.4
30kw,300,200,0.75,cold,PAR,PSM,15000,650,1.45,43,30.1,95.66,21,54,PASS,,21,30.8,68.8
30kw,300,200,0.75,room,PAR,PSM,15000,650,1.45,43,30.1,95.62,57,93,PASS,,56,30.8,68.8
30kw,300,200,0.75,hot,PAR,PSM,15000,650,1.45,43,30.1,95.58,87,125,PASS,,85,30.8,68.8
30kw,300,200,1,cold,PAR,PSM,20000,650,1.45,57,40.1,95.18,28,82,PASS,,26,40.9,91.2
30kw,300,200,1,room,PAR,PSM,20000,650,1.45,57,40.1,95.11,65,124,PASS,,61,40.9,91.2
30kw,300,200,1,hot,PAR,PSM,20000,650,1.45,53.1,37.3,95.21,93,148,PASS,thermal derate to 93% ,89,38.1,84.9
30kw,300,250,0,cold,PAR,IDLE,0,650,,0,0,,,,PASS,standby
