mpn,lcsc,lcsc_status,manufacturer,description,second_source,boards,qty,unit_100,unit_1k,unit_5k,unit_10k,ext_1k_INR,ext_10k_INR,sample_refs
IND-PFC-107u-50,,CUSTOM,"custom wind (docs/magnetics.md D1 rev B)","PFC choke 107 µH class, 5× OD79 26µ sendust (Magnetics 0077908A7 / Chang Sung KS eq, catalog AL 37 nH/T² ±8%), N=24, 13× 1.6 mm enamelled bundle (docs/magnetics.md D1-50 rev B) [D1-50 rev B: 5x T79 26u CATALOG core, N=24 +/-1 lot-trim]","POCO/DMEGC equiv core",acdc,1,1674,1240,1091.2,992,1240,992,LA0
IND-PFC-107u-50,,CUSTOM,"custom wind (docs/magnetics.md D1 rev B)","PFC choke 107 µH class, 5× OD79 26µ sendust (Magnetics 0077908A7 / Chang Sung KS eq, catalog AL 37 nH/T² ±8%), N=24, 13× 1.6 mm enamelled bundle (docs/magnetics.md D1-50 rev B)","POCO/DMEGC equiv core",acdc,1,1674,1240,1091.2,992,1240,992,LB0
IND-PFC-107u-50,,CUSTOM,"custom wind (docs/magnetics.md D1 rev B)","PFC choke 107 µH class, 5× OD79 26µ sendust (Magnetics 0077908A7 / Chang Sung KS eq, catalog AL 37 nH/T² ±8%), N=24, 13× 1.6 mm enamelled bundle (docs/magnetics.md D1-50 rev B)","POCO/DMEGC equiv core",acdc,1,1674,1240,1091.2,992,1240,992,LC0
IND-LR-E70-50,,CUSTOM,"custom wind (D2 rev F — GAPPED FERRITE)","D2-50 rev F: EXTERNAL resonant inductor 3.20 µH ±3% on 2× E70/33/32 PC95-class (TDK former B66372A2000), N=5, litz 12000×0.05 mm (23.6 mm²), DISTRIBUTED centre-leg gap Σ 13.1 mm PER FLUX PATH (≤1.0 mm per segment; parallel sets never summed; acceptance = the assembled AL, from which Σ re-derives at the winder RFQ); vacuum-impregnated, both yoke faces padded, end turns potted. Carries Lr 3.56 µH − 2 × D3 cell leakage (0.132 µH, acceptance ±20 %) − 0.1 µH loop. Envelope gate: 32.8 W Fe (90 mT) + 45.0 W Cu at the PSM corner, hot-spot 98 °C liquid / 109 °C air. Roll-up ₹1,191 [est, REVIEW at winder RFQ]","any E70-capable winder (TDG/DMEGC cores)",dcdc,1,1607.9,1191,1048.1,952.8,1191,953,L1R
PP-33n-1200V,,CLASS,"Faratronic/CDE 942C class","33 nF 1200 V PP resonant-duty film (full-bridge tank: 7/9/11 in parallel at 30/40/50 kW → ≤ 10.3 A rms per cap of the 12 A line at the 250 V-bank full-power corner; Vcr ≤ 595 V pk = 421 V rms). RFQ line (open decision O-8): published Vrms-vs-f curve ≥ 460 V @140 kHz","CDE 942C20P33K",dcdc,11,91.8,68,59.8,54.4,748,598,C1R0 C1R1 C1R2 C1R3 C1R4 C1R5 C1R6 C1R7 C1R8 C1R9 C1R10
HFE18V/NB90 or TE EV200 class,,REVIEW,"Hongfa","precharge-bypass power relay, 250 A class — an EV-type contactor (Hongfa HFE18V/NB90 or TE EV200 class) with a 1 Form A auxiliary as the mirror contact; 91.6 A line = 37 % of the class. §K line: contact-gap withstand and insulation group at the 475 VAC system plus the ~660 V pk precharge transient [250 A class CONTACTOR with a 1 Form A auxiliary (Hongfa HFE18V/NB90 or TE EV200 class) · 91.6 A line = 37 % · make ≥ 360 A pk at bypass closure, ≤ 70 V across the contacts, ≥ 30 000 makes · land pattern re-checked against the chosen part's drawing before BOM freeze]","TE T9G / contactor option",acdc,1,837,620,545.6,496,620,496,KPRE1
HFE18V/NB90 or TE EV200 class,,REVIEW,"Hongfa","precharge-bypass power relay, 250 A class — an EV-type contactor (Hongfa HFE18V/NB90 or TE EV200 class) with a 1 Form A auxiliary as the mirror contact; 91.6 A line = 37 % of the class. §K line: contact-gap withstand and insulation group at the 475 VAC system plus the ~660 V pk precharge transient","TE T9G / contactor option",acdc,1,837,620,545.6,496,620,496,KPRE2
DIODE-1600V-250A-MOD,,DIRECT,"IXYS/MacMic/Yangjie class — RFQ","output series blocking diode 1600 V 250 A, insulated-base 2-terminal module (167 A = 67 % at 50 kW; ~1.05 V × Iout, heatsink-mounted) [1600 V 250 A insulated-base module: 167 A out = 67 % (a 200 A part would run 84 %)]","MacMic MDD150-16",dcdc,1,837,620,545.6,496,620,496,DOUT
NSI6611,C7470934,ORDERABLE,"NOVOSENSE","iso gate driver 10 A, DESAT / Miller clamp (CLAMP pin wired) / UVLO, SOIC-16","NSI6602B",acdc+dcdc,7,114.8,85,74.8,68,595,476,UA0G UB0G UC0G U1H U1L U2H U2L
AMC1311DWVR,C456277,ORDERABLE,"TI/NOVOSENSE","iso voltage-sense amp 0–2 V input (bus / bank / output senses). On the 1311 class the symbol's pin-3 'VINN' is physically SHTDN — grounded = enabled; the netlist is correct and the label is the shared iso-amp table's","NSI1311 class",acdc+dcdc,5,155.3,115,101.2,92,575,460,UIVBP UIVBM UIVOA UIVOB UIVOV
ISO5V-RFC-6K,C20613048,REVIEW,"MORNSUN QA/URB-grade","iso 15→5 V reinforced-rated module (floating bias for the isolated sense amplifiers — AC star / DCN / BKAN / BKBN). Same barrier argument as the CAN/shunt modules: the certificate class is the acceptance line, DC-use clearance is the §K item","RECOM RxxP-R / certified eq",acdc+dcdc,6,128.3,95,83.6,65,570,390,PS5AC PS5BUS PSSH PS5BKA PS5BKB PSCAN
X2-4u7-305,,CLASS,"Faratronic/Songtian/Jimson","X2 4.7 µF 305 VAC MKP safety film, 27.5 mm pitch — twelve caps in three STAR stages: line side CX0x, inter-CMC CX1x, converter CX2x ×2 per phase; 274 VAC per cap at 475 VAC line-line. The star X bank IS the differential-mode filter; there are no series DM chokes to fall back on","any X2 305 VAC 4.7 µF class",acdc,12,56.7,42,37,33.6,504,403,CX01 CX02 CX03 CX11 CX12 CX13 CX21 CX22 CX23 CX24 CX25 CX26
AMC1350QDWVRQ1,C5214206,ORDERABLE,"TI/NOVOSENSE","iso voltage-sense amp ±5 V input (AC phase sense against the artificial star)","NSI1300 class",acdc,3,182.3,135,118.8,108,405,324,UIVV1 UIVV2 UIVV3
ISO-GBIAS-15-1W,,CLASS,"MORNSUN","isolated gate-bias module **+15 V / −3 V**, 1 W class (Vienna channels: ONE common-source pair per channel at 50 kHz = 0.33 W, so the 1 W class holds). Specified as a CLASS: reinforced isolated gate-bias module, 15 V DC in (13.5–16.5 V) against V15 ≈ 15.0 V off the regulated aux, dual output **+15 V / −3…−4 V**, ≥ 5 kVrms 1-min test, C_io ≤ 5 pF. ACCEPTANCE ROW: **+15 V ±5 % at 20–100 % of rated load, ≤ +17.5 V at 5 % load** — these modules run at ≈ 17 % load, where an unregulated open-frame part rises +10…+18 %. Packaged modules are permanent at ≥10k modules/yr: at that volume module pricing ≤ ₹55 makes a custom bias transformer worth ≈ ₹0 against added EMC and manufacturing risk. Whether the frozen switch wants +15 V or +18 V follows ITS recommended V_GS (open decision C-10)","domestic iso-module eq (2nd source at RFQ)",acdc,4,128.3,95,83.6,55,380,220,PSA0G PSB0G PSC0G PSQD
IMW120R350M1H,C536285,ORDERABLE,"CR Micro","SiC FET 1200 V 5 A (bus discharge QDISF / bank bleeders QDISA-B). GATE SPEC for the PV-driven bleeders: Vth(max) ≤ 3.5 V, Igss ≤ 100 nA. The 6.8 MΩ load-line figure (≈5.8 V after leakage) is a 25 °C-ENDPOINT MODEL, not an all-temperature guarantee — VOM1271 Voc(typ) falls to ~5.4 V at 100 °C; declared bleed-interval local ambient ≤ 70 °C, and an EVT loaded-Vgs/discharge measurement with the exact orderable FET gates the BOM freeze","BASiC small 1200V",acdc+dcdc,3,162,120,105.6,96,360,288,QDISF QDISA QDISB
STUD-M8,,CLASS,"local","M8 stud terminal","M6 for signal PE",acdc+dcdc,12,37.8,28,24.6,22.4,336,269,JACL1 JACL2 JACL3 JPE JDCP JDCN JPEB JDCP JDCN JPEB JOUTP JOUTN
GC4D10120H,C7435087,ORDERABLE,"SiChain","SiC JBS 1200 V 10 A TO-247-2 (Vienna RCD clamp; D{x}0CM is the mirrored clamp diode for the negative half-cycle, PH below DCN)","CR Micro 1200V/10A",acdc,6,74.3,55,48.4,44,330,264,DA0C DA0CM DB0C DB0CM DC0C DC0CM
RELAY-PCB-150A-24V,,DIRECT,"Hongfa HF161F / Churod CHC-D120 class","PCB power relay 150 A, 24 V coil, no mirror contact (S/P matrix, switched at ZERO current — modes change in standby with the LLC stopped; open-contact dielectric ≥ 2.5 kV holds the ≤ 500 V bank; SER 100 A = 67 % of the class)","Churod CHC-D120",dcdc,1,378,280,246.4,224,280,224,KSER
RELAY-PCB-150A-24V,,DIRECT,"Hongfa HF161F / Churod CHC-D120 class","PCB power relay 150 A, 24 V coil, no mirror contact (S/P matrix, switched at ZERO current — modes change in standby with the LLC stopped; open-contact dielectric ≥ 2.5 kV holds the ≤ 500 V bank; in PAR each relay carries one bank's half of the 167 A output)","Churod CHC-D120",dcdc,1,378,280,246.4,224,280,224,KPARA
RELAY-PCB-150A-24V,,DIRECT,"Hongfa HF161F / Churod CHC-D120 class","PCB power relay 150 A, 24 V coil, no mirror contact (S/P matrix, switched at ZERO current — modes change in standby with the LLC stopped; open-contact dielectric ≥ 2.5 kV holds the ≤ 500 V bank; in PAR each relay carries one bank's half of the 167 A output)","Churod CHC-D120",dcdc,1,378,280,246.4,224,280,224,KPARB
FUSE-gG-690V-160A,,CLASS,"local/Bussmann","gG fuse 160 A 690 VAC, NH00 blade (50 kW AC input, 91.6 A worst continuous). The holder is the matching NH00 base — the 22×58 frame ends at 125 A","SIBA",acdc,1,351,260,228.8,208,260,208,F1
FUSE-gG-690V-160A,,CLASS,"local/Bussmann","gG fuse 160 A 690 VAC, NH00 blade (50 kW AC input, 91.6 A worst continuous). The holder is the matching NH00 base — the 22×58 frame ends at 125 A","SIBA",acdc,1,351,260,228.8,208,260,208,F2
FUSE-gG-690V-160A,,CLASS,"local/Bussmann","gG fuse 160 A 690 VAC, NH00 blade (50 kW AC input, 91.6 A worst continuous). The holder is the matching NH00 base — the 22×58 frame ends at 125 A","SIBA",acdc,1,351,260,228.8,208,260,208,F3
PP-4u7-1200,,CLASS,"Faratronic","4.7 µF 1200 V film (output; 1000 V = 83 % of the class)","—",dcdc,2,168.8,125,110,100,250,200,COF1 COF2
XFMR-AUX-FLY-E,,CUSTOM,"custom wind (D4 rev E)","aux flyback transformer ETD44 PC95, 110 W class, 321–860 V input, Np38 / N24 6 / N15 4 / Naux 4, Lp 345 µH ±5 % / AL 239, P/2–S–P/2 sandwich, leakage ≤ 4 µH, primary pins 1–4 / SELV pins 5–8, reinforced primary→secondary barrier, 100 % hipot 4 kV. ETD44 (Ae 173 mm²) is the requirement, not a size preference: at the real cycle-by-cycle limit — CS filter lag plus tILIM, with the 0.28 Ω / 100 pF sense chain — it computes 71 % of Bsat at 130 °C, where an ETD39 reaches 410 mT = 113 % [est ₹230 @1k: ETD39 wind ₹185 + larger core set/former]","—",acdc,1,310.5,230,202.4,184,230,184,TAUX
GD32G553VET7,,REVIEW,"GigaDevice","MCU Cortex-M33 216 MHz LQFP100 −40…105 °C. The V suffix is the 100-pin part, and GigaDevice's ordering table lists ONLY VET7 (105 °C / 216 MHz) and VET3 (125 °C / 170 MHz) — no other suffix is a valid order code at this pin count; silicon and pinout are identical across the two","GD32G553VET3 (125 °C)",card,1,283.5,210,184.8,168,210,168,UCARD
PP-1u-600,,CLASS,"Faratronic","1 µF 600 V film (Vienna per-phase commutation)","Songtian",acdc,6,43.2,32,28.2,25.6,192,154,CA0FP CA0FN CB0FP CB0FN CC0FP CC0FN
CT-RES-1:100-150A,,CLASS,"**CUSTOM (RFQ)** — NOT a Talema AS catalogue part","resonant CT 1:100, 150 A rms class, 20–250 kHz, pass-through — the tank conductor is the primary (ONE CT on the full-bridge tank; the 50 kW tank class 120 A rms = 80 %) — custom HF-CT wind at RFQ","2nd HF-CT winder at RFQ (no catalogue drop-in exists at this class)",dcdc,1,222.8,165,145.2,132,165,132,CT1
SIC-1700-1R-G15,,CLASS,"Infineon CoolSiC M1 / CR Micro / BASiC","SiC FET 1700 V ~1 Ω **specified at V_GS 12–15 V** (aux flyback switch on the full bus; TO-247 likely package, footprint placeholder). The NCP1252 DRV pin CLAMPS at 15 V typ / 18 V max (datasheet Rev 9), so a part whose R_DS(on) is quoted at a 20 V gate is never fully enhanced here and is barely on at the 9 V UVLO corner — the gate-voltage the R_DS(on) is specified at is the selection criterion, not the ohms. ACCEPTANCE: R_DS(on) ≤ 1.1 Ω at V_GS = 15 V and T_j = 25 °C, V_GS(th) ≤ 4.5 V, V_GS(max) ≥ 19 V, R_G,int stated (IMBF170R1K0M1-class — CoolSiC trench M1 is a +15 V/−5 V part). No gate resistor is fitted because R_G,int is ≈ 25 Ω","G3R1700 class specified at 15 V gate",acdc,1,216,160,140.8,128,160,128,QAUX
SHUNT-50MV-167A,,CLASS,"Isabellenhütte-eq/local","manganin shunt 0.299 mΩ (50 mV at the 167 A rated output), Kelvin 4-terminal [manganin shunt 0.299 mΩ = 50 mV at the 167 A rated output, Kelvin 4-terminal]","local manganin",dcdc,1,209.3,155,136.4,124,155,124,RSHO
SIC-SBD-1700V,,CLASS,"GeneSiC/Littelfuse/Wolfspeed class","SiC Schottky ≥1700 V, IF(AV) ≥1 A, IFRM ≥10 A, no forward recovery (aux RCD clamp). The 1700 V class is the requirement: this diode blocks Vbus + Vc = 1307–1337 V at the stack-up leakage, so a 1200 V part avalanches every cycle; d4-flyback computes Vr ≤ 80 % at 860 V + limit current + 5 µH [est ₹150 @1k: 1.7 kV SiC SBD distributor class, RFQ]","2× STTH112U series (only with a measured VFP allowance re-run through d4-flyback)",acdc,1,202.5,150,132,120,150,120,DCLA
MICROFIT3-40,,CLASS,"Molex 43045-40 class (2x20)","40-way inter-board harness header, 5 A/contact — the PFC bundle crosses here: PWM x3, 12 senses, AVMID+Kelvin, fans, precharge, EN/GATE_EN_A/FLT/DRV_RDY, V15/V24, 5 returns, shield","JST VL / TE MicroMate 40",acdc+dcdc,2,97.2,72,63.4,57.6,144,115,JICA JICB
ISO-GBIAS-15-2W,,CLASS,"MORNSUN","iso gate-bias module +15/−3 V, **2 W class**: this channel drives TWO paralleled SG2M023120LJ dies at up to f_max 203 kHz, so P_gate = n·Q_g·ΔV·f + driver I_CC2 = 1.13 W at f_r and 1.59 W at f_max — 113–159 % of a 1 W module, continuously. An overloaded module droops, the NSI66x1A VCC2 UVLO falling threshold is 9.8–11.8 V, and a sagging rail first raises R_DS(on) on the paralleled dies and then takes the channel offline at exactly the light-output-voltage corners, presenting as a control fault that is not one. The 30 kW channels drive one die (0.85 W worst) and keep the 1 W class. RFQ: C_io ≤ 5 pF for the CM budget","domestic iso-module eq (2nd source at RFQ)",dcdc,1,189,140,123.2,100,140,100,PS1H
ISO-GBIAS-15-2W,,CLASS,"MORNSUN","iso gate-bias module +15/−3 V, **2 W class**: this channel drives TWO paralleled SG2M023120LJ dies at up to f_max 203 kHz, so P_gate = n·Q_g·ΔV·f + driver I_CC2 = 1.13 W at f_r and 1.59 W at f_max — 113–159 % of a 1 W module, continuously. An overloaded module droops, the NSI66x1A VCC2 UVLO falling threshold is 9.8–11.8 V, and a sagging rail first raises R_DS(on) on the paralleled dies and then takes the channel offline at exactly the light-output-voltage corners, presenting as a control fault that is not one. The 30 kW channels drive one die (0.85 W worst) and keep the 1 W class. RFQ: C_io ≤ 5 pF for the CM budget","domestic iso-module eq (2nd source at RFQ)",dcdc,1,189,140,123.2,100,140,100,PS1L
ISO-GBIAS-15-2W,,CLASS,"MORNSUN","iso gate-bias module +15/−3 V, **2 W class**: this channel drives TWO paralleled SG2M023120LJ dies at up to f_max 203 kHz, so P_gate = n·Q_g·ΔV·f + driver I_CC2 = 1.13 W at f_r and 1.59 W at f_max — 113–159 % of a 1 W module, continuously. An overloaded module droops, the NSI66x1A VCC2 UVLO falling threshold is 9.8–11.8 V, and a sagging rail first raises R_DS(on) on the paralleled dies and then takes the channel offline at exactly the light-output-voltage corners, presenting as a control fault that is not one. The 30 kW channels drive one die (0.85 W worst) and keep the 1 W class. RFQ: C_io ≤ 5 pF for the CM budget","domestic iso-module eq (2nd source at RFQ)",dcdc,1,189,140,123.2,100,140,100,PS2H
ISO-GBIAS-15-2W,,CLASS,"MORNSUN","iso gate-bias module +15/−3 V, **2 W class**: this channel drives TWO paralleled SG2M023120LJ dies at up to f_max 203 kHz, so P_gate = n·Q_g·ΔV·f + driver I_CC2 = 1.13 W at f_r and 1.59 W at f_max — 113–159 % of a 1 W module, continuously. An overloaded module droops, the NSI66x1A VCC2 UVLO falling threshold is 9.8–11.8 V, and a sagging rail first raises R_DS(on) on the paralleled dies and then takes the channel offline at exactly the light-output-voltage corners, presenting as a control fault that is not one. The 30 kW channels drive one die (0.85 W worst) and keep the 1 W class. RFQ: C_io ≤ 5 pF for the CM budget","domestic iso-module eq (2nd source at RFQ)",dcdc,1,189,140,123.2,100,140,100,PS2L
B72220S0551K101,,CLASS,"TDK/Songtian","MOV 550 VAC 20 mm (Δ line-line, and in series with the GDT to PE)","Songtian eq",acdc,6,29.7,22,19.4,17.6,132,106,MOV1 MOV2 MOV3 MOVP1 MOVP2 MOVP3
WW-470R-10W,,CLASS,"local/TE","470 Ω 10 W wirewound axial (Vienna clamp bleeder; 4.3 W worst case = 43 % of rating)","SQP10",acdc,6,29.7,22,19.4,17.6,132,106,RA0C RA0CM RB0C RB0CM RC0C RC0CM
CER-2k2-10W-AX,,CLASS,"TE/local","2.2 kΩ 10 W wirewound axial (bank bleeder chain; ≤65 J/pulse, τ 4–17 s to <60 V)","SQP10",dcdc,8,18.9,14,12.3,11.2,112,90,RBDA0 RBDA1 RBDA2 RBDA3 RBDB0 RBDB1 RBDB2 RBDB3
FILM-100n-250,,CLASS,"Faratronic","100 nF 250 V film (Vienna RCD clamp; C{x}0CM is the mirrored clamp cap)","MLCC 250V",acdc,6,24.3,18,15.8,14.4,108,86,CA0C CA0CM CB0C CB0CM CC0C CC0CM
VY1472M63Y5UQ63V0,C499492,ORDERABLE,"Songtian/Faratronic","Y1 4.7 nF 440 VAC (second CM stage on AC1M..3M, between the two CM chokes, where the trio works against 4 mH of CM inductance / output-PE / DGND-PE; DC-use clearance is open decision O-7)","TDK CD series",acdc+dcdc,6,21.6,16,14.1,12.8,96,77,CY4 CY5 CY6 CPET CYO1 CYO2
